SHOP_2025-08-06 07:04:55_0001594805-25-000072
MU_2026-01-21 16:05:37_0001104659-26-005366
PLTR_2025-05-05 16:07:18_0001321655-25-000063
CVS_2025-10-29 06:32:51_0000064803-25-000036
CVS_2025-08-15 16:10:49_0001193125-25-181862
SMCI_2026-02-03 16:51:51_0001375365-26-000006
CAT_2025-09-03 16:06:11_0001104659-25-087011
APP_2025-07-01 08:01:19_0001751008-25-000061
DUOL_2025-02-27 16:05:32_0001562088-25-000039
COIN_2025-12-15 17:50:36_0001679788-25-000247
KO_2026-01-14 06:58:41_0001552781-26-000017
UNH_2025-09-08 07:00:14_0000731766-25-000245
SHOP_2025-05-08 07:01:41_0001594805-25-000045
CFLT_2025-10-27 16:06:16_0001699838-25-000011
SNOW_2025-05-08 16:06:15_0001640147-25-000078
LMND_2025-08-04 20:18:40_0001691421-25-000120
QCOM_2025-12-16 17:22:18_0000804328-25-000098
ABT_2025-10-15 07:33:48_0001628280-25-045049
CFLT_2025-12-08 08:12:54_0001104659-25-119081
SMCI_2025-12-29 16:19:19_0001375365-25-000031
ACHR_2025-11-26 06:08:33_0001104659-25-116163
ORCL_2025-09-26 16:05:13_0001193125-25-220445
AMD_2026-01-20 16:19:32_0000002488-26-000002
JOBY_2025-08-29 16:40:11_0001628280-25-041409
AMD_2025-10-27 08:49:27_0001193125-25-250803
ADBE_2025-04-24 16:06:22_0001628280-25-019665
NEE_2025-12-31 16:16:16_0000753308-25-000068
PLTR_2025-02-27 18:02:46_0001321655-25-000033
NVAX_2025-11-06 08:00:22_0001000694-25-000048
MU_2025-08-11 08:05:18_0001104659-25-075940
CVS_2025-11-20 16:18:11_0001193125-25-289805
NVDA_2025-08-27 16:22:14_0001045810-25-000207
SOFI_2025-12-04 16:12:36_0001818874-25-000222
OKLO_2025-03-07 16:21:01_0001104659-25-021750
AMZN_2025-05-01 16:15:00_0001018724-25-000034
UNH_2025-11-13 16:02:22_0000731766-25-000310
MRVL_2025-12-12 16:19:53_0001628280-25-056774
NOW_2025-07-23 16:11:17_0001373715-25-000274
COIN_2025-08-05 07:10:34_0001679788-25-000163
TSLA_2025-10-02 09:04:54_0001628280-25-043530
ASTS_2025-10-29 17:19:36_0001493152-25-020104
DUOL_2026-01-12 06:46:23_0001628280-26-001730
BA_2025-12-08 16:12:36_0001628280-25-055825
GOOGL_2025-11-06 16:47:26_0001193125-25-269979
NOW_2025-12-23 17:12:27_0001373715-25-000335
JOBY_2025-11-05 16:02:07_0001819848-25-000594
ORCL_2025-09-09 16:13:19_0001193125-25-199175
BRK-B_2025-11-03 13:48:34_0001193125-25-262260
LNTH_2025-07-22 07:31:48_0001193125-25-162233
PLTR_2026-02-02 16:06:08_0001321655-26-000004
AAPL_2026-01-02 16:30:52_0001140361-26-000199
HOOD_2026-01-30 16:05:18_0001783879-26-000007
MSFT_2025-10-29 16:07:42_0001193125-25-256310
PANW_2025-08-18 16:13:24_0001327567-25-000024
CNC_2025-09-10 21:40:56_0001071739-25-000168
CVS_2025-07-31 06:31:12_0000064803-25-000023
JOBY_2025-11-05 08:00:24_0001819848-25-000590
UNH_2025-11-21 17:20:04_0000731766-25-000314
SOUN_2025-05-08 16:22:26_0001628280-25-023838
COIN_2025-08-15 16:40:21_0001679788-25-000182
NOW_2026-01-28 16:11:25_0001373715-26-000005
ABT_2025-05-01 16:01:21_0001104659-25-043508
PYPL_2025-11-17 17:19:36_0001193125-25-284822
HIMS_2025-10-02 16:04:31_0001773751-25-000331
JPM_2025-12-08 06:30:37_0000019617-25-001100
SOUN_2025-02-27 16:20:57_0001840856-25-000008
TEM_2025-08-08 06:04:11_0000950170-25-105441
HIMS_2025-11-03 16:08:27_0001773751-25-000352
AMD_2025-10-06 07:04:49_0001193125-25-230895
GE_2025-10-01 06:33:18_0000040545-25-000126
MSFT_2025-12-08 16:00:35_0001193125-25-311196
PANW_2025-09-25 16:12:58_0001193125-25-217462
NKE_2025-09-11 16:19:26_0000320187-25-000060
IREN_2025-11-24 16:26:55_0001140361-25-043142
UNH_2026-01-12 06:58:08_0000731766-26-000020
CRWV_2026-01-02 17:21:15_0001769628-26-000003
PYPL_2026-02-03 07:08:08_0001633917-26-000021
MU_2025-12-17 16:03:26_0000723125-25-000044
PLTR_2024-11-14 16:08:10_0001321655-24-000219
HIMS_2025-09-22 16:56:15_0001773751-25-000318
SMR_2025-10-07 16:12:01_0001822966-25-000162
CVNA_2025-04-29 16:13:55_0001690820-25-000134
SMCI_2026-01-02 16:06:03_0001375365-26-000001
GOOGL_2025-10-29 16:01:48_0001652044-25-000087
IONQ_2025-10-16 20:59:00_0000950142-25-002829
TSLA_2025-08-04 06:03:14_0001104659-25-073263
JNJ_2025-04-15 08:14:19_0000200406-25-000110
INTC_2025-09-29 16:09:16_0000050863-25-000159
APP_2025-08-06 16:08:54_0001751008-25-000069
JPM_2025-10-14 09:49:09_0001628280-25-044887
NVDA_2025-04-15 17:22:59_0001045810-25-000082
CRWV_2025-10-30 19:23:27_0000950103-25-014006
LMND_2025-07-02 07:34:32_0001691421-25-000108
NFLX_2025-11-04 16:01:38_0001065280-25-000408
BRK-B_2025-12-11 06:02:16_0001193125-25-314935
SMR_2025-10-20 16:18:48_0001822966-25-000165
CVNA_2025-10-29 16:06:00_0001690820-25-000352
CFLT_2026-01-13 16:15:40_0001104659-26-003336
AVGO_2025-09-04 16:19:50_0001730168-25-000094
INTC_2025-11-12 16:08:30_0000050863-25-000194
ADBE_2025-01-30 16:17:12_0000796343-25-000036
LYFT_2026-01-27 16:05:25_0001628280-26-003601
CFLT_2025-04-30 16:06:08_0000950170-25-061034
NVAX_2025-10-07 07:00:33_0001104659-25-097317
GME_2025-08-11 06:46:13_0001326380-25-000064
CVS_2025-05-20 16:12:56_0000064803-25-000015
JPM_2025-10-22 16:17:53_0001193125-25-246803
ABT_2025-11-20 07:37:40_0001104659-25-114422
AVGO_2025-09-29 16:08:40_0001193125-25-223202
NEE_2025-11-20 16:49:08_0000753308-25-000060
IBM_2025-06-20 17:00:06_0000950157-25-000533
SNOW_2025-12-03 16:06:11_0001640147-25-000207
BE_2025-07-31 16:07:20_0001628280-25-036998
CSCO_2025-08-25 16:27:47_0000858877-25-000103
HOOD_2025-03-25 08:32:51_0001783879-25-000097
ALGN_2025-10-29 16:05:15_0001097149-25-000075
JPM_2026-01-22 16:15:33_0001193125-26-019450
OPEN_2025-11-21 16:41:01_0001140361-25-042984
HOOD_2025-04-30 16:05:42_0001783879-25-000144
ASTS_2025-11-03 17:00:28_0001493152-25-020619
RR_2026-01-30 06:16:49_0001213900-26-009823
LLY_2025-05-01 07:03:11_0000059478-25-000129
GOOGL_2025-07-18 16:16:46_0001193125-25-161225
SOFI_2026-01-30 07:07:34_0001818874-26-000008
IONQ_2025-11-21 17:20:24_0001193125-25-291630
JNJ_2025-06-10 17:06:51_0000200406-25-000152
PYPL_2026-02-03 17:14:35_0001193125-26-035860
NEE_2025-12-05 16:05:04_0000753308-25-000062
OPEN_2025-11-07 09:08:24_0001140361-25-040966
SNOW_2026-02-02 16:08:24_0001628280-26-004606
AMZN_2025-10-30 16:13:01_0001018724-25-000121
MRVL_2025-12-02 16:11:39_0001835632-25-000193
NVDA_2026-01-23 17:01:33_0001045810-26-000003
IBM_2026-01-30 16:32:05_0000051143-26-000006
KO_2025-10-21 06:59:07_0001628280-25-045577
SHOP_2025-09-10 16:00:17_0001594805-25-000081
OKLO_2025-03-24 16:49:05_0001104659-25-027276
NVAX_2025-10-22 07:00:50_0001104659-25-101390
JOBY_2025-11-06 16:06:17_0001819848-25-000597
META_2025-11-03 16:18:13_0001193125-25-262593
IBM_2025-10-23 16:16:36_0000051143-25-000063
NKE_2025-06-25 16:17:08_0000320187-25-000030
LNTH_2025-11-12 16:30:48_0001193125-25-277754
META_2025-12-12 16:14:29_0001628280-25-056768
CAT_2025-06-12 16:19:25_0001104659-25-058891
PEP_2025-07-16 17:57:33_0000077476-25-000042
AMZN_2025-05-22 16:31:45_0001104659-25-052014
BA_2025-07-29 07:30:54_0000012927-25-000058
CAT_2025-08-28 16:37:57_0001104659-25-084800
ASTS_2026-01-16 17:00:49_0001493152-26-002617
TEM_2025-11-04 16:01:30_0001193125-25-264616
JPM_2026-01-22 16:30:18_0000019617-26-000052
SOFI_2025-11-13 06:03:01_0001818874-25-000215
SOUN_2024-11-12 16:25:10_0001840856-24-000039
IBM_2025-07-23 16:16:51_0000051143-25-000048
RR_2025-11-14 21:09:40_0001213900-25-111197
BE_2025-10-30 06:38:25_0001193125-25-257353
CNC_2025-11-10 16:40:53_0001071739-25-000188
RIVN_2025-10-02 08:29:18_0001874178-25-000041
INTC_2025-12-29 06:17:04_0000050863-25-000204
CFLT_2025-07-30 16:07:33_0001699838-25-000004
SMCI_2025-08-05 16:08:29_0001375365-25-000023
BE_2025-12-22 18:58:40_0001628280-25-058618
GME_2025-12-09 16:03:45_0001326380-25-000097
BULL_2003-05-15 16:43:42_0000950144-03-006986
MRVL_2025-09-25 15:06:11_0001193125-25-217311
CRWV_2025-12-11 17:10:25_0001769628-25-000105
IREN_2025-11-06 16:01:56_0001878848-25-000079
ACHR_2025-12-02 08:35:26_0001824502-25-000022
PEP_2025-07-28 16:30:34_0001104659-25-071182
SOFI_2026-01-09 16:24:13_0001818874-26-000005
SMR_2025-11-06 16:35:07_0001822966-25-000173
NFLX_2025-12-05 07:31:07_0001193125-25-308651
IBM_2025-07-24 16:11:58_0000051143-25-000051
APP_2025-04-09 17:09:50_0001751008-25-000032
KO_2025-05-02 13:09:51_0000021344-25-000033
OPEN_2026-01-26 08:51:43_0001801169-26-000004
HIMS_2025-06-17 16:49:57_0001773751-25-000211
IONQ_2025-10-16 20:56:55_0000950142-25-002827
SMR_2026-01-27 12:16:35_0001822966-26-000007
OKLO_2025-06-16 16:05:47_0001104659-25-059855
CVNA_2025-07-30 16:06:24_0001690820-25-000310
PYPL_2025-06-09 16:35:39_0001633917-25-000105
ASTS_2025-11-10 16:27:55_0001193125-25-274360
PYPL_2025-06-24 16:28:28_0001633917-25-000124
RR_2025-12-05 16:06:09_0001213900-25-118715
KO_2025-07-22 07:00:23_0000021344-25-000054
PFE_2025-12-16 07:01:53_0000078003-25-000167
LMND_2025-06-09 16:42:02_0001691421-25-000081
